date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:20	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684613	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page6573.css	(from http://www.mauritiusjobs.mu/read_news/VFhwQmVnPT0%3D)
18:22:21	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684613	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu6573.css	(from http://www.mauritiusjobs.mu/read_news/VFhwQmVnPT0%3D)
18:22:21	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684614	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page18e1.css	(from http://www.mauritiusjobs.mu/read_news/VFhwQmVBPT0%3D)
18:22:22	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684614	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu18e1.css	(from http://www.mauritiusjobs.mu/read_news/VFhwQmVBPT0%3D)
18:22:22	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684615	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page205b.css	(from http://www.mauritiusjobs.mu/read_news/VFdwck5RPT0%3D)
18:22:23	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684615	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu205b.css	(from http://www.mauritiusjobs.mu/read_news/VFdwck5RPT0%3D)
18:22:23	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684616	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page8076.css	(from http://www.mauritiusjobs.mu/read_news/VFdwck13PT0%3D)
18:22:24	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684616	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu8076.css	(from http://www.mauritiusjobs.mu/read_news/VFdwck13PT0%3D)
18:22:24	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684617	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page9101.css	(from http://www.mauritiusjobs.mu/read_news/VFdwck1nPT0%3D)
18:22:24	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684617	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu9101.css	(from http://www.mauritiusjobs.mu/read_news/VFdwck1nPT0%3D)
